example_id                                                 | status | run_time        |
---------------------------------------------------------- | ------ | --------------- |
./spec/requests/AuthenticationControllers_spec.rb[1:1:1:1] | passed | 0.00947 seconds |
./spec/requests/AuthenticationControllers_spec.rb[1:1:1:2] | passed | 0.01482 seconds |
./spec/requests/AuthenticationControllers_spec.rb[1:1:2:1] | passed | 0.00411 seconds |
./spec/requests/AuthenticationControllers_spec.rb[1:1:3:1] | passed | 0.03866 seconds |
./spec/requests/lists_request_spec.rb[1:1:1]               | failed | 0.00447 seconds |
./spec/requests/lists_request_spec.rb[1:2:1]               | failed | 0.0031 seconds  |
./spec/requests/lists_request_spec.rb[1:3:1]               | failed | 0.00275 seconds |
./spec/requests/lists_request_spec.rb[1:4:1]               | failed | 0.01767 seconds |
./spec/requests/lists_request_spec.rb[1:5:1]               | failed | 0.00274 seconds |
